origin_country,total_flights,avg_velocity,on_ground
Algeria,20,207.95700000000002,0
Argentina,19,163.84894736842105,1
Australia,19,124.15315789473684,6
Austria,139,162.80964028776978,17
Azerbaijan,5,482.85,0
Bahamas,2,149.04000000000002,0
Bahrain,3,225.48333333333335,0
Bangladesh,11,153.88,4
Belarus,3,232.50666666666666,0
Belgium,46,126.11521739130436,7
Botswana,1,174.55,0
Brazil,114,176.8330701754386,2
Brunei Darussalam,1,179.43,0
Bulgaria,13,226.55615384615385,0
Cambodia,2,159.42499999999998,0
Canada,334,164.78751497005987,53
Cape Verde,1,211.71,0
Chile,39,156.05692307692308,5
China,192,188.5416145833333,13
Colombia,13,136.73153846153846,1
Costa Rica,1,65.8,0
Croatia,7,181.39857142857142,0
Cyprus,2,168.675,0
Czech Republic,58,83.71551724137932,3
Denmark,35,125.46285714285713,1
Dominican Republic,6,215.135,0
Egypt,42,200.60238095238094,3
Estonia,6,133.35666666666665,2
Ethiopia,8,226.725,0
Finland,36,131.17972222222224,6
France,196,150.8669387755102,6
Georgia,6,151.5,2
Germany,449,122.38042316258351,24
Greece,55,173.04054545454545,2
Guatemala,8,79.52,1
Hungary,50,170.25400000000002,3
Iceland,11,191.2290909090909,0
India,162,168.5424074074074,20
Indonesia,9,209.5822222222222,0
Ireland,290,176.74848275862067,24
Israel,16,219.520625,0
Italy,35,108.59428571428572,1
Japan,54,155.82203703703703,12
Jordan,7,169.9057142857143,2
Kenya,2,108.57499999999999,1
Kingdom of the Netherlands,156,141.59333333333333,8
Kuwait,1,233.63,0
Lao People's Democratic Republic,1,201.89,0
Latvia,22,171.05090909090907,1
Lebanon,2,243.47,0
Lithuania,7,199.41571428571427,0
Luxembourg,27,180.30444444444444,2
Malaysia,42,180.31071428571428,2
Maldives,1,200.89,0
Malta,177,180.54553672316385,17
Mexico,85,177.63129411764706,5
Montenegro,1,197.27,0
Morocco,25,204.0116,0
Myanmar,5,145.974,1
Nepal,2,144.375,0
New Zealand,3,91.59333333333332,2
Nigeria,1,240.13,0
Norway,35,148.73485714285715,1
Oman,1,220.22,0
Pakistan,2,226.77,0
Panama,18,191.01555555555555,2
Paraguay,1,86.02,0
Philippines,24,163.43041666666667,4
Poland,119,144.12638655462186,3
Portugal,79,185.3218987341772,4
Qatar,8,211.78,0
Republic of Korea,53,180.77188679245282,5
Republic of Moldova,4,203.3375,0
Romania,15,180.55533333333332,0
Russian Federation,26,162.66653846153847,0
San Marino,9,171.2188888888889,1
Saudi Arabia,19,214.01263157894735,1
Serbia,14,163.70785714285714,2
Singapore,42,199.1654761904762,2
Slovakia,7,55.75428571428572,0
Slovenia,5,58.348,0
South Africa,32,150.430625,0
Spain,144,159.9648951048951,11
Sri Lanka,6,148.02166666666668,2
Sweden,79,164.75848101265822,8
Switzerland,128,131.110078125,19
Syrian Arab Republic,1,268.13,0
Taiwan,33,166.36333333333332,5
Thailand,43,185.41720930232557,0
Trinidad and Tobago,4,234.97,0
Tunisia,5,231.998,0
Turkey,295,217.87125423728813,4
Turkmenistan,1,12.86,1
Ukraine,6,205.51999999999998,0
United Arab Emirates,82,197.70817073170733,6
United Kingdom,482,138.89724066390042,32
United States,5778,144.29198026657434,425
Uzbekistan,6,182.50333333333333,0
Viet Nam,15,176.55133333333333,0
Zambia,1,216.9,0
