icao24,origin_country,velocity,on_ground
39de4f,France,2.31,True
a89ea5,United States,40.46,False
80162d,India,97.23,False
801638,India,239.66,False
39de4b,France,200.09,False
39de4a,France,234.87,False
39de4c,France,92.68,False
801641,India,0.06,True
801640,India,157.39,False
a3b87f,United States,235.44,False
3cf0b8,Germany,0.0,True
a9fc9d,United States,54.3,False
39de55,France,257.98,False
39de54,France,136.04,False
801648,India,260.46,False
acdfa6,United States,207.78,False
ac4963,United States,259.04,False
407a29,United Kingdom,43.14,False
a3b88e,United States,204.19,False
aae316,United States,226.67,False
00b22e,South Africa,231.87,False
00b22b,South Africa,147.41,False
80163f,India,227.44,False
a65eca,United States,43.68,False
00b22c,South Africa,173.83,False
a36898,United States,113.69,False
80160b,India,217.12,False
a5954e,United States,184.07,False
3d10cf,Germany,48.12,False
aa9300,United States,255.42,False
801623,India,187.56,False
a1befc,United States,70.48,False
801621,India,210.5,False
851914,Japan,5.4,True
a5e550,United States,55.29,False
a97808,United States,88.96,False
80161a,India,9.26,True
acdfab,United States,202.67,False
a0e250,United States,239.57,False
a1025a,United States,268.34,False
39de48,France,195.33,False
39de47,France,241.67,False
a7cea1,United States,78.53,False
39de49,France,97.34,False
ad694c,United States,226.22,False
801633,India,1.54,True
a0e249,United States,9.77,True
39de40,France,149.36,False
80161d,India,165.2,False
a2355d,United States,231.32,False
39de42,France,196.98,False
39de41,France,212.96,False
39de44,France,218.24,False
aa4fc9,United States,42.1,False
adeca5,United States,203.2,False
511188,Estonia,242.27,False
abacd2,United States,233.43,False
4acb02,Sweden,179.05,False
4acb04,Sweden,2.31,True
ad564b,United States,151.15,False
a47597,United States,254.29,False
4bc8c8,Turkey,219.73,False
e80252,Chile,215.77,False
4bc8c4,Turkey,224.93,False
4bc8c5,Turkey,214.04,False
801681,India,129.15,False
3edc07,Germany,35.51,False
4bc8c1,Turkey,249.91,False
e8024d,Chile,6.69,True
80167d,India,164.76,False
4bc8d0,Turkey,221.52,False
80167b,India,144.96,False
e8024e,Chile,0.9,True
80167c,India,221.85,False
a2229c,United States,150.1,False
511177,Estonia,135.63,False
abf008,United States,199.7,False
3c4c63,Germany,247.31,False
801696,India,183.66,False
e80267,Chile,2.83,True
3d23b9,Germany,29.86,False
841a6c,Japan,218.74,False
4bc8d6,Turkey,240.21,False
4bc8d2,Turkey,238.07,False
ad4341,United States,57.56,False
3442cb,Spain,141.69,False
a963f7,United States,206.29,False
ac234f,United States,141.57,False
80164f,India,201.39,False
a35592,United States,219.33,False
ac101f,United States,234.54,False
471efa,Hungary,246.47,False
471efb,Hungary,241.93,False
47b217,Norway,221.45,False
a3a538,United States,195.3,False
51118a,Estonia,180.21,False
a34268,United States,245.23,False
44029f,Austria,173.77,False
80165c,India,241.9,False
80165a,India,249.46,False
80165d,India,111.87,False
a3689e,United States,227.29,False
a3556f,United States,195.49,False
801674,India,169.94,False
a9c6fa,United States,248.54,False
a5e509,United States,50.12,False
a3b86c,United States,159.59,False
3d10a8,Germany,83.49,False
e8027a,Chile,238.83,False
adda1e,United States,229.75,False
3455da,Spain,140.64,False
abad94,United States,120.43,False
4acb41,Sweden,127.04,False
4acb45,Sweden,238.66,False
e80210,Chile,230.83,False
adda23,United States,250.39,False
a95249,United States,159.06,False
accd69,United States,5.14,True
86cfa0,Japan,179.34,False
3455d8,Spain,65.84,False
4acb58,Sweden,224.17,False
a7cefb,United States,73.5,False
4acb59,Sweden,183.48,False
440250,Austria,44.86,False
0d11cc,Mexico,2.06,True
3c5ee7,Germany,225.82,False
e8021c,Chile,4.63,True
3c5ee9,Germany,0.0,True
4bc8cf,Turkey,232.43,False
3ffc7d,Germany,68.07,False
a9653d,United States,185.59,False
3d2522,Germany,65.29,False
4bc8ca,Turkey,249.07,False
a6f280,United States,220.81,False
3c5ee2,Germany,123.98,False
3c5ee1,Germany,229.61,False
a8dbc9,United States,183.27,False
80169e,India,263.68,False
3d1209,Germany,30.36,False
46b82a,Greece,241.84,False
0d11f9,Mexico,231.24,False
a127bd,United States,36.03,False
3c5eed,Germany,169.36,False
46b82f,Greece,205.24,False
3c5eeb,Germany,7.2,False
3c5eea,Germany,2.83,True
a5d28e,United States,273.56,False
a46274,United States,132.43,False
a5d28c,United States,246.05,False
3c5ef0,Germany,237.41,False
3c5ef5,Germany,215.8,False
a8dbbd,United States,140.83,False
e80247,Chile,174.06,False
478854,Norway,240.46,False
3c5ef2,Germany,207.14,False
3ffc5c,Germany,39.11,False
a234bc,United States,0.0,True
46b831,Greece,243.78,False
46b830,Greece,245.92,False
44020c,Austria,237.56,False
44020a,Austria,216.57,False
a091d5,United States,56.29,False
a6188e,United States,42.2,False
a101c3,United States,185.43,False
a26a0d,United States,44.03,False
8851e2,Thailand,271.5,False
46b824,Greece,238.35,False
46b822,Greece,226.63,False
46b823,Greece,208.69,False
46b828,Greece,113.4,False
aa099e,United States,76.88,False
a0f4b5,United States,205.54,False
ab1628,United States,236.03,False
aa3ce8,United States,71.65,False
aaf617,United States,236.58,False
3d3826,Germany,52.38,False
44022b,Austria,250.59,False
a247f0,United States,217.14,False
47880d,Norway,236.61,False
a85887,United States,236.05,False
a39d11,United States,144.77,False
a1ad23,United States,215.16,False
a2ba48,United States,247.07,False
a40d5f,United States,244.96,False
ae629c,United States,189.86,False
8014a3,India,203.9,False
aa07f9,United States,238.41,False
a3ed69,United States,216.11,False
a63a04,United States,73.68,False
c03517,Canada,239.14,False
885226,Thailand,68.0,False
343194,Spain,212.04,False
8014b2,India,230.9,False
885223,Thailand,235.02,False
ac34a0,United States,278.31,False
8014b4,India,146.83,False
a474bb,United States,39.41,False
a487ef,United States,230.66,False
c0481b,Canada,275.88,False
ae6299,United States,3.6,True
a0090f,United States,168.39,False
a52d5d,United States,36.96,False
accd13,United States,147.48,False
a02a79,United States,149.03,False
4aca82,Sweden,213.05,False
4aca81,Sweden,251.55,False
4aca84,Sweden,225.37,False
4aca83,Sweden,249.14,False
4aca86,Sweden,224.21,False
4aca85,Sweden,217.98,False
4aca87,Sweden,241.58,False
a64d4d,United States,242.68,False
accd18,United States,142.29,False
a091f3,United States,0.51,True
a354e0,United States,74.86,False
e07584,Argentina,247.59,False
a0f4f6,United States,181.4,False
a3ed7c,United States,276.41,False
c02207,Canada,237.69,False
c04850,Canada,0.0,True
87457e,Japan,141.57,False
4aca92,Sweden,10.29,True
4aca95,Sweden,253.34,False
4aca94,Sweden,204.41,False
ad67ae,United States,4.89,True
4aca99,Sweden,215.8,False
a27d5a,United States,49.01,False
a14a77,United States,27.31,False
a234ef,United States,184.36,False
a3ed91,United States,150.23,False
aaf4c8,United States,236.17,False
4aca8a,Sweden,231.47,False
a38a21,United States,182.3,False
4aca8c,Sweden,233.7,False
4aca8e,Sweden,245.11,False
e49eeb,Brazil,256.55,False
a2ba7e,United States,7.46,True
8014dc,India,206.15,False
8014da,India,83.6,False
3c5eee,Germany,240.52,False
8014db,India,257.45,False
e49ef0,Brazil,251.39,False
ac34bf,United States,0.0,False
8014de,India,148.8,False
8014df,India,245.95,False
471f8e,Hungary,6.94,True
a3b7cb,United States,46.3,False
344481,Spain,95.07,False
e49efb,Brazil,128.41,False
8014f7,India,208.08,False
8014f8,India,1.8,True
392068,France,61.18,False
a40d8d,United States,0.0,True
ac6a1f,United States,212.46,False
4400eb,Austria,214.72,False
a03ca8,United States,68.4,False
a39d9b,United States,124.28,False
343147,Spain,207.42,False
adb7b8,United States,184.63,False
8014ea,India,164.96,False
471f9e,Hungary,181.3,False
e48ba9,Brazil,134.88,False
8014c1,India,218.19,False
343141,Spain,272.41,False
3d2568,Germany,61.01,False
3838a5,France,55.37,False
a40d7a,United States,0.0,True
471f81,Hungary,220.49,False
471f86,Hungary,242.74,False
c04829,Canada,7.72,True
8014bc,India,269.88,False
a3b7f4,United States,232.16,False
86cef4,Japan,290.77,False
4b0fda,Switzerland,70.28,False
acba30,United States,217.9,False
c04826,Canada,282.81,False
e49ed5,Brazil,234.76,False
8014d6,India,228.32,False
8014d0,India,120.25,False
34444b,Spain,84.73,False
8014cf,India,257.41,False
8014ce,India,264.33,False
344459,Spain,105.46,False
344455,Spain,254.93,False
a8dbff,United States,160.28,False
471f68,Hungary,245.48,False
aa0909,United States,155.07,False
471f69,Hungary,233.61,False
471f66,Hungary,151.13,False
a0097a,United States,41.16,False
4400ad,Austria,30.63,False
a5d1f7,United States,240.05,False
a99a52,United States,257.48,False
344449,Spain,210.46,False
a8ca46,United States,37.94,False
ac7bed,United States,88.5,False
471f77,Hungary,240.7,False
c033de,Canada,131.03,False
471f75,Hungary,249.46,False
a28fc4,United States,192.51,False
a03ce6,United States,227.92,False
a35605,United States,0.0,True
343104,Spain,77.77,False
a16ff1,United States,203.33,False
4400b7,Austria,232.29,False
adfee0,United States,141.12,False
4400b3,Austria,200.62,False
4400b2,Austria,212.3,False
ab0294,United States,34.92,False
e4a6da,Brazil,64.47,False
7809b8,China,214.53,False
7809aa,China,241.62,False
8014fe,India,105.36,False
a03cb6,United States,184.49,False
8014fa,India,180.58,False
471f58,Hungary,154.29,False
4030dd,United Kingdom,22.97,False
471f54,Hungary,210.45,False
c07c7a,Canada,264.85,False
4786c5,Norway,60.65,False
7809d0,China,207.47,False
a711ff,United States,47.51,False
a10308,United States,65.79,False
a831e5,United States,224.38,False
344416,Spain,223.87,False
a594fa,United States,0.0,True
